id,firstname,lastname,birthdate,pos
8445044,Billy,Bell,1891-06-10,C
8445071,Louis,Berlinquette,1887-05-26,L
8445571,Bert,Corbeau,1894-02-09,D
8445744,Billy,Coutu,1892-03-01,D
8446669,Joe,Hall,1882-05-03,D
8447289,Newsy,Lalonde,1888-10-31,C
8447348,Jack,Laviolette,1879-07-27,D
8447594,Joe,Malone,1890-02-28,C
8447761,Jack,McDonald,1887-02-28,L
8448119,Evariste,Payer,1887-12-12,C
8448154,Didier,Pitre,1883-09-01,R
8450137,Georges,Vezina,1887-01-21,G
8445135,George,Boucher,1896-08-19,D
8445191,Morley,Bruce,1894-03-07,D
8445802,Rusty,Crawford,1885-11-07,L
8445844,Jack,Darragh,1890-12-04,R
8445874,Cy,Denneny,1891-12-23,L
8446581,Eddie,Gerard,1890-02-22,L
8447013,Harry,Hyland,1889-01-02,R
8447522,Ed,Lowrey,1891-08-13,C
8447848,Horace,Merrill,1885-11-30,D
8448011,Frank,Nighbor,1893-01-26,C
8448336,Dave,Ritchie,1892-01-12,D
8449025,Hamby,Shore,1886-02-12,D
8449817,Clint,Benedict,1892-09-26,G
8446580,Gerry,Geran,1896-08-03,C
8447616,Jack,Marks,1885-06-11,L
8448052,George,O'Grady,1891-06-08,D
8448456,Art,Ross,1886-01-13,D
8449048,Raymie,Skilton,1889-09-26,D
8449181,Phil,Stevens,1893-02-15,C
8449231,Ken,Thompson,1881-05-29,L
8450014,Bert,Lindsay,1881-07-23,G
8444861,Jack,Adams,1895-06-14,C
8445314,Harry,Cameron,1890-02-06,D
8445740,Jack,Coughlin,1892-06-06,R
8445873,Corb,Denneny,1894-01-25,C
8447832,Harry,Meeking,1894-11-04,L
8447907,Harry,Mummery,1889-08-25,D
8448013,Reg,Noble,1896-06-23,C
8448246,Ken,Randall,1888-12-14,R
8449049,Alf,Skinner,1896-01-26,R
8449841,Art,Brooks,1889-02-04,G
8449990,Sammy,Hebert,1894-03-31,G
8449997,Hap,Holmes,1892-02-21,G
8444956,Amos,Arbour,1895-01-26,L
8445496,Odie,Cleghorn,1891-09-19,R
8445914,Fred,Doherty,1887-08-15,R
8445168,Punch,Broadbent,1892-07-13,R
8445497,Sprague,Cleghorn,1890-03-11,D
8448441,Skene,Ronan,1889-02-09,D
8447037,Paul,Jacobs,1884-03-09,D
8447815,Howard,McNamara,1893-08-03,D
8449072,Don,Smith,1888-06-03,L
8447791,Jack,MacKell,1896-04-12,R
8445326,George,Carey,1892-11-04,R
8445330,Ed,Carpenter,1890-06-15,D
8447674,Thomas,McCarthy,1893-04-12,R
8447796,Fred,McLean,1893-03-16,D
8447816,George,McNaughton,1897-04-04,R
8449087,Tommy,Smith,1886-09-27,C
8449382,Alex,Wellington,1893-08-04,R
8449843,Frank,Brophy,1900-08-09,G
8450017,Howard,Lockhart,1895-03-21,G
8445972,Babe,Dye,1898-05-13,R
8446761,Frank,Heffernan,1892-01-12,D
8447637,Joe,Matte,1893-03-06,D
8448212,Goldie,Prodgers,1891-10-18,C
8448349,Mickey,Roach,1895-05-01,C
8449551,Cully,Wilson,1892-06-05,R
8449918,Jake,Forbes,1897-07-04,G
8450044,Ivan,Mitchell,1893-07-09,G
8445317,Dave,Campbell,1896-04-27,D
8446629,Leth,Graham,1894-10-10,L
8447765,Moylan,McDonnell,1889-08-27,D
8448315,Leo,Reise Sr.,1892-06-01,D
8449090,Rod,Smylie,1895-09-28,L
8449199,Billy,Stuart,1900-02-01,D
8445131,Edmond,Bouchard,1892-05-24,L
8445133,Billy,Boucher,1899-11-10,R
8445134,Frank,Boucher,1901-10-07,C
8445471,King,Clancy,1903-02-25,D
8444936,Lloyd,Andrews,1894-11-04,L
8447035,Stan,Jackson,1898-08-27,L
8448030,Paddy,Nolan,1897-12-01,L
8449075,Glenn,Smith,1895-04-25,D
8449145,Ted,Stackhouse,1894-11-02,D
8450103,John Ross,Roach,1900-06-23,G
8447110,Aurel,Joliat,1901-08-29,L
8446767,Harry,Helman,1894-08-28,R
8446886,Lionel,Hitchman,1901-11-03,D
8445255,Billy,Burch,1900-11-20,C
8445882,Gerry,Denoird,1902-08-04,C
8448948,Ganton,Scott,1903-03-23,R
8445136,Bobby,Boucher,1904-02-14,C
8445312,Billy,Cameron,1896-12-05,R
8447606,Sylvio,Mantha,1902-04-14,D
8447888,Howie,Morenz,1902-09-21,C
8445319,Earl,Campbell,1900-07-23,D
8446298,Frank,Finnigan,1903-07-09,R
8446492,Charles,Fraser,1897-07-22,D
8446643,Red,Green,1899-12-12,L
8446644,Shorty,Green,1896-07-17,R
8449141,Jesse,Spring,1901-01-18,D
8446907,Albert,Holway,1902-09-24,D
8447518,Wilf,Loughlin,1896-02-28,D
8449133,Chris,Speyer,1903-02-06,D
8445061,Bobby,Benson,1894-05-18,D
8445340,George,Carroll,1897-06-03,D
8445536,Lloyd,Cook,1890-03-21,D
8445541,Carson,Cooper,1899-07-17,R
8445743,John,Ingram,1893-12-19,C
8446716,Smokey,Harris,1890-10-11,L
8446755,Fern,Headley,1901-03-02,D
8446785,Jimmy,Herberts,1897-10-31,C
8447876,Herb,Mitchell,1896-01-04,L
8447890,Bernie,Morris,1890-08-21,C
8448297,George,Redding,1903-03-06,L
8448584,Bobby,Rowe,1885-08-19,R
8448934,Werner,Schnarr,1903-03-23,C
8449002,Norm,Shay,1899-02-03,D
8449129,Emory,Sparrow,1898-09-15,R
8449920,Hec,Fowler,1892-10-14,G
8450120,Charles,Stewart,1895-11-13,G
8447111,Rene,Joliat,1898-04-25,R
8447272,Roland,Lafleur,1899-03-21,L
8447641,Johnny,Matz,1891-06-01,C
8446616,Ed,Gorman,1892-09-25,D
8449059,Alex,Smith,1902-04-02,D
8449077,Hooley,Smith,1903-01-07,C
8449856,Alec,Connell,1902-02-08,G
8445644,Charlie,Cotch,1900-02-21,L
8447323,Charlie,Langlois,1894-08-25,R
8447794,Alex,McKinnon,1895-04-17,R
8445308,Francis,Cain,1899-03-22,D
8445911,Chuck,Dinsmore,1903-07-23,C
8447521,Fred,Lowrey,1902-08-12,R
8447908,Dunc,Munro,1901-01-19,D
8447912,Gerry,Munro,1897-11-28,D
8448087,Ernie,Parkes,1898-11-04,R
8448462,Sam,Rothschild,1899-10-16,L
8445854,Hap,Day,1901-06-14,D
8446300,Alvin,Fisher,1893-01-05,R
8447655,Bert,McCaffrey,1893-04-12,R
8447999,Mike,Neville,1904-10-11,C
8448310,Reg,Reid,1899-02-17,L
8445068,Fred,Bergdinon,1906-06-22,R
8445152,John,Brackenborough,1897-02-09,L
8445306,Charles,Cahill,1904-01-04,R
8446703,Hago,Harrington,1904-08-13,L
8447329,Bonner,Larose,1901-02-14,L
8450104,Moe,Roberts,1905-12-13,G
8445578,Roger,Cormier,1905-03-23,R
8446897,Bill,Holmes,1899-03-09,C
8447328,Wildor,Larochelle,1906-09-23,R
8447371,Albert,Leduc,1902-11-22,D
8447465,Hec,Lepine,1897-12-07,C
8447466,Pit,Lepine,1901-07-30,C
8447795,John,McKinnon,1902-07-15,D
8448101,Rollie,Paulhus,1902-09-01,D
8450012,Frenchy,Lacroix,1897-10-21,G
8450099,Herb,Rheaume,1900-01-12,G
8445959,John,Duggan,1898-12-17,L
8447181,Hec,Kilrea,1907-06-11,L
8445514,Lionel,Conacher,1901-05-24,D
8445648,Baldy,Cotton,1902-11-05,L
8445843,Harold,Darragh,1902-09-13,L
8445955,Herb,Drury,1895-03-02,D
8447741,Duke,McCurry,1900-06-13,L
8447859,Hib,Milks,1899-04-01,L
8449082,Rodger,Smith,1896-07-26,D
8449392,Tex,White,1900-06-26,R
8450153,Roy,Worters,1900-10-19,G
8445178,Bernie,Brophy,1905-08-09,L
8445346,Frank,Carson,1902-01-12,R
8446914,George,Horne,1904-06-27,R
8447216,Hobie,Kitchen,1904-02-08,D
8448141,Merlyn,Phillips,1899-05-24,C
8449038,Babe,Siebert,1904-01-14,L
8449189,Nels,Stewart,1902-12-29,C
8445109,Rene,Boileau,1904-05-18,C
8446665,Bob,Hall,1899-10-13,L
8447896,John,Morrison,1895-03-04,L
8449045,Joe,Simpson,1893-08-13,D
8450000,Joe,Ironstone,1898-06-28,G
8444851,Gordon,Spence,1897-07-25,L
8445047,Pete,Bellefeuille,1901-10-19,R
8444855,Clarence,Abel,1900-05-28,D
8445142,Leo,Bourgeault,1903-01-17,D
8445148,Billy,Boyd,1898-05-15,R
8445187,Stan,Brown,1898-05-09,D
8445529,Bill,Cook,1896-10-09,R
8445535,Fred,Cook,1903-09-18,L
8447098,Ivan,Johnson,1898-12-07,D
8447573,Reg,Mackey,1900-05-07,D
8447913,Murray,Murdoch,1904-05-19,L
8448095,Lester,Patrick,1883-12-30,D
8448314,Ollie,Reinikka,1901-08-02,C
8449232,Paul,Thompson,1906-11-02,L
8449850,Lorne,Chabot,1900-10-05,G
8450150,Hal,Winkler,1892-03-20,G
8445162,Archie,Briden,1898-07-16,L
8446493,Frank,Fredrickson,1895-06-11,C
8446558,Percy,Galbraith,1898-12-05,L
8447143,Duke,Keats,1895-03-21,C
8448055,Harry,Oliver,1898-10-26,R
8449024,Eddie,Shore,1902-11-25,D
8446514,Art,Gagne,1897-10-11,R
8446564,Herb,Gardiner,1891-05-08,D
8446572,Art,Gauthier,1904-10-10,C
8446727,Gizzy,Hart,1902-06-01,L
8447283,Leo,Lafrance,1902-11-03,L
8447887,Amby,Moran,1895-04-03,D
8448080,Pete,Palangio,1908-09-10,L
8449987,George,Hainsworth,1895-06-26,G
8445940,Ken,Doraty,1906-06-23,R
8445968,Duke,Dukowski,1902-08-30,D
8446489,Gord,Fraser,1902-01-03,D
8446750,George,Hay,1898-01-10,L
8447020,Dick,Irvin,1892-07-19,C
8447545,Mickey,MacKay,1894-05-25,C
8447771,Gord,McFarlane,1901-07-18,R
8447827,Charley,McVeigh,1898-03-29,C
8448332,Jim,Riley,1897-05-25,L
8448429,Eddie,Rodden,1901-03-22,C
8449251,Art,Townsend,1905-10-09,D
8449253,Bob,Trapp,1899-12-16,D
8449254,Percy,Traub,1896-08-23,D
8450013,Hugh,Lehman,1885-10-27,G
8446673,Milt,Halliday,1906-09-21,L
8444967,Ty,Arbour,1896-06-29,L
8447779,Mickey,McGuire,1898-07-07,L
