,index,Rk,Player,Age,Tm,Pos,GP,G▼,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Season,Keep
0,0,1,David Pastrnak,23,BOS,RW,65,46,44,90,20,34,12.5,27,19,0,9,27,17,0,255,18.0,1242,19:06,20,45,6,10,37.5,2019-2020,True
1,1,2,Auston Matthews,22,TOR,C,65,44,32,76,18,8,10.1,33,11,0,4,19,13,0,265,16.6,1352,20:48,55,37,471,378,55.5,2019-2020,True
2,2,3,Alex Ovechkin,34,WSH,LW,63,43,17,60,-14,30,7.7,31,12,0,3,12,5,0,294,14.6,1316,20:54,26,169,1,0,100.0,2019-2020,True
3,3,4,Leon Draisaitl,24,EDM,C,64,37,62,99,-11,16,11.2,24,13,0,10,35,27,0,198,18.7,1452,22:42,19,24,588,546,51.9,2019-2020,True
4,4,5,Sebastian Aho,22,CAR,F,63,36,26,62,12,26,8.2,26,7,3,5,18,7,1,195,18.5,1221,19:23,16,47,377,439,46.2,2019-2020,True
5,5,6,Jack Eichel,23,BUF,C,63,35,42,77,10,34,9.5,24,10,1,9,26,16,0,216,16.2,1389,22:03,41,37,571,641,47.1,2019-2020,True
6,6,7,Nathan MacKinnon,24,COL,C,63,33,52,85,9,12,9.8,23,10,0,4,33,19,0,293,11.3,1343,21:19,30,49,337,451,42.8,2019-2020,True
7,7,8,Kyle Connor,23,WPG,LW,66,32,34,66,0,32,7.4,23,8,1,6,26,8,0,218,14.7,1386,21:00,17,18,2,11,15.4,2019-2020,True
8,8,9,Artemi Panarin,28,NYR,LW,63,32,56,88,35,18,11.0,25,7,0,4,42,14,0,194,16.5,1280,20:19,17,23,1,1,50.0,2019-2020,True
9,9,10,Nikita Kucherov,26,TBL,RW,62,31,47,78,26,34,9.7,27,4,0,6,29,18,0,189,16.4,1161,18:44,19,34,0,1,0.0,2019-2020,True
10,10,11,Connor McDavid,23,EDM,C,58,31,56,87,-7,28,9.8,20,11,0,5,28,28,0,193,16.1,1279,22:03,18,34,284,309,47.9,2019-2020,True
11,11,12,Max Pacioretty,31,VEG,LW,66,30,33,63,17,40,8.2,23,7,0,4,22,11,0,289,10.4,1180,17:53,35,86,50,44,53.2,2019-2020,True
12,12,13,Mika Zibanejad,26,NYR,C,51,30,32,62,8,14,7.5,17,10,3,5,19,11,2,179,16.8,1091,21:24,43,48,522,553,48.6,2019-2020,True
13,13,14,Patrice Bergeron,34,BOS,C,56,29,24,53,21,24,7.4,18,10,1,5,15,9,0,188,15.4,1058,18:54,36,41,707,518,57.7,2019-2020,True
14,14,15,Dominik Kubalík,24,CHI,LW,62,29,14,43,2,14,5.9,25,4,0,3,10,4,0,150,19.3,877,14:09,16,73,5,13,27.8,2019-2020,True
15,15,16,William Nylander,23,TOR,C,63,29,28,57,0,10,6.4,21,8,0,7,20,8,0,175,16.6,1139,18:05,12,8,106,104,50.5,2019-2020,True
16,16,17,Steven Stamkos,29,TBL,C,57,29,37,66,14,22,8.0,19,10,0,6,28,9,0,176,16.5,1050,18:25,38,69,365,307,54.3,2019-2020,True
17,17,18,Patrick Kane,31,CHI,RW,64,28,50,78,5,38,8.6,21,7,0,2,35,15,0,239,11.7,1362,21:17,17,24,1,3,25.0,2019-2020,True
18,18,19,Mark Scheifele,26,WPG,C,66,28,42,70,-1,45,7.3,18,10,0,6,33,9,0,154,18.2,1434,21:44,44,33,558,631,46.9,2019-2020,True
19,19,20,Elias Lindholm,25,CGY,C,65,27,23,50,-11,22,5.5,19,8,0,7,14,9,0,156,17.3,1279,19:41,38,84,384,396,49.2,2019-2020,True
20,20,21,Reilly Smith,28,VEG,RW,66,27,25,52,17,20,6.7,22,3,2,6,21,2,2,160,16.9,1186,17:58,29,49,3,9,25.0,2019-2020,True
21,21,22,Mike Hoffman,30,FLA,C,64,26,28,54,-7,28,5.7,16,10,0,3,18,10,0,189,13.8,1074,16:47,21,31,6,8,42.9,2019-2020,True
22,22,23,Patrik Laine,21,WPG,RW,64,26,33,59,4,22,6.5,19,7,0,1,25,8,0,217,12.0,1261,19:42,33,92,10,17,37.0,2019-2020,True
23,23,24,Brad Marchand,31,BOS,LW,65,26,55,81,24,72,9.6,20,5,1,5,32,21,2,175,14.9,1276,19:38,17,53,20,29,40.8,2019-2020,True
24,24,25,Jean-Gabriel Pageau,27,TOT,C,62,26,16,42,11,49,5.4,18,5,3,5,8,5,3,139,18.7,1189,19:10,50,120,564,493,53.4,2019-2020,True
25,25,26,John Tavares,29,TOR,C,58,26,31,57,-6,20,5.9,19,7,0,4,19,12,0,184,14.1,1131,19:31,30,30,564,457,55.2,2019-2020,True
26,26,27,Evgenii Dadonov,30,FLA,RW,64,25,21,46,-7,8,4.8,14,11,0,2,16,5,0,159,15.7,1090,17:02,21,28,0,0,,2019-2020,True
27,27,28,J.T. Miller,26,VAN,C,63,25,40,65,9,45,7.1,16,9,0,3,25,13,2,149,16.8,1252,19:52,35,107,377,260,59.2,2019-2020,True
28,28,29,T.J. Oshie,33,WSH,C,64,25,22,47,3,26,5.4,15,10,0,4,20,2,0,123,20.3,1177,18:23,53,85,111,115,49.1,2019-2020,True
29,29,30,Elias Pettersson,21,VAN,C,62,25,35,60,13,16,6.9,17,8,0,5,20,15,0,153,16.3,1143,18:26,40,59,57,79,41.9,2019-2020,True
30,30,31,Jakub Vrana,23,WSH,LW,64,25,26,51,4,18,6.3,24,1,0,6,15,11,0,177,14.1,960,15:00,15,28,4,5,44.4,2019-2020,True
31,31,32,Adam Henrique,29,ANA,C,64,24,15,39,-2,20,4.8,19,5,0,0,12,3,0,159,15.1,1074,16:47,29,69,435,362,54.6,2019-2020,True
32,32,33,Chris Kreider,28,NYR,LW,63,24,21,45,13,58,5.4,15,9,0,5,17,4,0,156,15.4,1087,17:15,42,116,53,70,43.1,2019-2020,True
33,33,34,David Perron,31,STL,LW,65,24,35,59,2,52,6.4,15,9,0,9,17,18,0,158,15.2,1198,18:26,18,63,3,4,42.9,2019-2020,True
34,34,35,Bryan Rust,27,PIT,RW,49,24,26,50,17,28,6.4,16,7,1,4,17,8,1,140,17.1,979,19:59,31,68,2,7,22.2,2019-2020,True
35,35,36,Andrei Svechnikov,19,CAR,RW,63,24,34,58,14,48,7.0,18,6,0,5,22,12,0,171,14.0,1051,16:41,26,106,0,1,0.0,2019-2020,True
36,36,37,Nikolaj Ehlers,23,WPG,LW,66,23,29,52,9,30,5.9,19,3,1,4,28,1,0,192,12.0,1100,16:40,24,34,0,2,0.0,2019-2020,True
37,37,38,Alex Killorn,30,TBL,C,62,23,23,46,19,20,5.5,16,7,0,5,18,5,0,117,19.7,1114,17:58,15,52,5,14,26.3,2019-2020,True
38,38,39,Brock Nelson,28,NYI,C,63,23,27,50,5,32,5.7,19,4,0,5,25,2,0,160,14.4,1189,18:52,44,46,564,533,51.4,2019-2020,True
39,39,40,Kyle Palmieri,28,NJD,RW,59,23,20,43,0,41,5.1,12,11,0,3,13,7,0,141,16.3,1012,17:09,33,68,12,22,35.3,2019-2020,True
40,40,41,Brayden Point,23,TBL,C,60,23,37,60,28,11,7.2,16,7,0,4,33,4,0,129,17.8,1132,18:52,27,23,360,349,50.8,2019-2020,True
